contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
820,MSNU5216374,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
821,MSNU5291110,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
822,MSNU5324609,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
823,MSNU5329998,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
824,MSNU5414913,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
825,MSNU5427490,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
826,MSNU5427660,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
827,MSNU5428964,5700010588  P4,,MSC,CGSA,MEDLOG
828,MSNU5442751,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
829,MSNU5478646,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
830,MSNU5522374,5700011152,,MSC,TPG,MEDLOG
